RANK,PREVIOUS,SCHOOL,CONFERENCE,RECORD,ROAD,NEUTRAL,HOME,NON-DI
36,35,Texas,Big 12,23-Oct,05-Jun,02-Feb,16-Feb,0-0
37,36,Memphis,AAC,23-Sep,05-May,03-Jan,14-Mar,1-0
38,38,Toledo,Mid-American,27-Jun,09-May,03-Jan,14-0,1-0
39,39,Pittsburgh,Atlantic Coast,25-Sep,07-Feb,05-Feb,13-May,0-0
40,40,Providence,Big East,23-Nov,06-Jun,04-Feb,13-Mar,0-0
41,41,Stanford,Pac-12,21-Dec,06-May,03-Mar,12-Apr,0-0
42,42,Tennessee,Southeastern,21-Dec,04-Jul,03-Feb,13-Mar,1-0
43,43,Dayton,Atlantic 10,23-Oct,07-Apr,03-Feb,13-Apr,0-0
44,44,Arizona St.,Pac-12,21-Nov,04-Jul,01-Mar,16-Jan,0-0
45,45,Oklahoma St.,Big 12,21-Dec,03-Jul,05-Feb,13-Mar,0-0
46,46,Harvard,Ivy,26-Apr,11-Mar,4- 0,10-Jan,1-0
47,47,Xavier,Big East,21-Dec,04-Jun,02-Apr,14-Feb,1-0
48,48,Nebraska,Big Ten,19-Dec,03-Aug,01-Mar,15-Jan,0-0
49,49,Missouri,Southeastern,22-Nov,03-Jul,04-Feb,15-Feb,0-0
50,50,Minnesota,Big Ten,20-13,03-Jul,01-Mar,15-Mar,1-0
51,51,Kansas St.,Big 12,20-Dec,02-Jul,03-Mar,15-Feb,0-0
52,52,Stephen F. Austin,Southland,31-2,14-Feb,2- 0,11-0,4-0
53,53,SMU,AAC,23-Sep,06-Jun,02-Feb,15-Jan,0-0
54,54,Florida St.,Atlantic Coast,19-13,06-Jun,04-Feb,09-May,0-0
55,55,North Carolina St.,Atlantic Coast,21-13,06-Jun,02-Jan,13-Jun,0-0
56,57,Iowa,Big Ten,20-Dec,04-Jun,03-Feb,12-Apr,1-0
